article_id,ticker,published_at,source_name,author,title,description,content,url,date
0,GOOG,2026-03-25 17:47:00+00:00,CNET,Katelyn Chedraoui,Jury Finds Meta and Google Negligent in Social Media Addiction Trial,"A California woman sued the tech giants, alleging Instagram and YouTube were designed to be addictive to children.",A California jury found both Instagram owner Meta and Google's parent company Alphabet liable on Wednesday in a lawsuit brought by a 20-year-old woman who alleged that YouTube and Instagram were desi… [+2715 chars],https://www.cnet.com/tech/services-and-software/meta-google-negligent-social-media-addiction-trial-california/,2026-03-25 00:00:00+00:00
1,GOOG,2026-03-25 17:47:17+00:00,CNET,Katelyn Chedraoui,"Jury Finds Meta, Google Negligent in Social Media Addiction Trial","A California woman sued the tech giants, claiming Instagram and YouTube were designed to be addictive to children.",A California jury found Instagram owner Meta and Google's parent company Alphabet liable on Wednesday in a lawsuit brought by a 20-year-old woman who alleged that YouTube and Instagram were designed … [+2475 chars],https://www.cnet.com/tech/services-and-software/jury-finds-meta-google-negligent-social-media-addiction-trial/,2026-03-25 00:00:00+00:00
2,GOOG,2026-03-25 18:15:52+00:00,Daily Signal,Reuters Staff,Jury Finds Meta and Google Liable in Social Media Addiction Trial,"REUTERS–A Los Angeles jury found Alphabet’s Google and Meta liable for $3 million in damages on Wednesday in a landmark social media addiction lawsuit that... Read More
The post Jury Finds Meta and Google Liable in Social Media Addiction Trial appeared first …",REUTERS–A Los Angeles jury found Alphabet’s Google and Meta liable for $3 million in damages on Wednesday in a landmark social media addiction lawsuit that will influence thousands of similar cases a… [+2567 chars],https://www.dailysignal.com/2026/03/25/jury-finds-meta-and-google-liable-in-social-media-addiction-trial/,2026-03-25 00:00:00+00:00
3,GOOG,2026-03-25 19:30:22+00:00,Al Jazeera English,Andy Hirschfeld,"US jury finds Meta, Alphabet liable in landmark social media addiction case",A California jury awarded the plaintiff $3m in damages in the case,A California jury found Alphabets Google and Meta liable for $3m in damages in a landmark social media addiction lawsuit that accused the companies of being legally responsible for the addictive desi… [+4793 chars],https://www.aljazeera.com/economy/2026/3/25/us-jury-finds-meta-alphabet-liable-in-landmark-social-media-addiction-case,2026-03-25 00:00:00+00:00
4,GOOG,2026-03-25 19:46:27+00:00,Reason,Jacob Sullum,A Lawsuit Settlement Highlights Trump's Hypocrisy on Government Meddling With Social Media,"Despite its rejection of the Biden administration's interference, the Trump administration is still asserting authority over online speech.","On Tuesday, the New Civil Liberties Alliance (NCLA) announced that it had reached a settlement in Missouri v. Biden, a First Amendment lawsuit challenging the federal government's attempts to suppres… [+12119 chars]",https://reason.com/2026/03/25/a-lawsuit-settlement-highlights-trumps-hypocrisy-on-government-meddling-with-social-media/,2026-03-25 00:00:00+00:00
5,GOOG,2026-03-25 19:47:29+00:00,Financial Post,Bloomberg News,Musk’s xAI ‘doubling down’ on AI videos after OpenAI nixes Sora,"Elon Musk said xAI plans to upgrade its AI video generator, following OpenAI’s decision this week to discontinue its Sora product. Read here","Elon Musk said his artificial intelligence company, xAI, plans to upgrade its AI video generator, seizing on an opening left by rival OpenAIs decision this week to discontinue its Sora product.
THIS… [+3795 chars]",https://financialpost.com/technology/tech-news/musks-xai-doubling-down-on-ai-videos,2026-03-25 00:00:00+00:00
6,GOOG,2026-03-25 20:25:59+00:00,Financial Post,Bloomberg News,"Meta, Google found liable in social media addiction case",Meta Platforms Inc. and Alphabet Inc.’s Google were found liable and must pay damages over a social media addiction-driven crisis. Read on,Meta Platforms Inc. and Alphabet Inc.s Google were found liable and must pay damages to a 20-year-old woman who alleged that her addiction to the companies social media platforms caused her to suffer… [+5104 chars],https://financialpost.com/technology/tech-news/meta-google-found-liable-social-media-addiction-case,2026-03-25 00:00:00+00:00
7,GOOG,2026-03-25 20:34:17+00:00,Common Dreams,Brett Wilkins,"'Earthquake for Big Tech': LA Jury in Social Media Addiction Trial Finds Meta, YouTube Harmed Child",A Los Angeles jury on Wednesday found that Meta and Google acted negligently by harming a child user with their social media platforms' addictive design features in a landmark verdict that came on the heels of Tuesday's $375 million fine imposed on Meta by Ne…,A Los Angeles jury on Wednesday found that Meta and Google acted negligently by harming a child user with their social media platforms' addictive design features in a landmark verdict that came on th… [+7184 chars],https://www.commondreams.org/news/social-media-addiction-trial,2026-03-25 00:00:00+00:00
8,GOOG,2026-03-25 20:49:00+00:00,Nextgov,Alexandra Kelley,"Trump names CEOs, nuclear fusion founders and Nobel laureate to tech advisory council",The announcement includes 13 of the possible 24 members that will make up the President’s Council of Advisors on Science and Technology.,Leadership from Big Tech is further cementing its presence in Washington as the White House unveiled the first 13 members that will compose the Presidents Council of Advisors on Science and Technolog… [+2330 chars],https://www.nextgov.com/people/2026/03/trump-names-ceos-nuclear-fusion-founders-and-nobel-laureate-tech-advisory-council/412381/,2026-03-25 00:00:00+00:00
9,GOOG,2026-03-25 20:50:11+00:00,The Jerusalem Post,BY REUTERS,"Meta, Google lose US case over social media addiction harming kids, court orders to pay over $5M","The jury found Meta liable for $4.2 million in damages and Google for $1.8 million, small amounts for two of the world's most valuable companies.","Alphabet's Google and Meta were found liable on Wednesday for designing platforms that are dangerous for kids and teens, in a landmark verdict that could force tech firms to rethink how they defend t… [+4447 chars]",https://www.jpost.com/business-and-innovation/all-news/article-891220,2026-03-25 00:00:00+00:00
