ticker,published_at,source_name,author,title,description,content,url
META,2026-03-31T23:57:23Z,The Conversation Africa,"Mohiuddin Ahmed, Associate Professor in Cyber Security, Adelaide University",Australians lost $2 billion to scams – and are still waiting for new anti-scam measures to take effect,New anti-scam measures passed federal parliament more than a year ago. So why aren’t they in force yet? And what can people do to protect themselves in the meantime?,"DΛVΞ GΛRCIΛ/Pexels
Australians lost more than A$2 billion to scams in 2025, new figures from the Australian Competition and Consumer Commission (ACCC) show. 

This was a 7.8% increase compared to 20… [+5116 chars]",https://theconversation.com/australians-lost-2-billion-to-scams-and-are-still-waiting-for-new-anti-scam-measures-to-take-effect-279549
META,2026-03-31T23:54:48Z,Pypi.org,,llm-failure-atlas added to PyPI,Detection and pattern library for LLM agent failures,"The detection and pattern library for LLM agent failures. Defines failure patterns, signals, and adapters. Fully deterministic, no ML required.
Atlas detects. For root cause diagnosis, explanation, … [+24390 chars]",https://pypi.org/project/llm-failure-atlas/
META,2026-03-31T23:52:33Z,SiliconANGLE News,Mike Wheatley,OpenAI just closed on a record-breaking $122B funding round that brings its value to $852B,"OpenAI Group PBC showed that it’s still the darling of artificial intelligence investors today, announcing it has raised $122 billion at an $852 billion valuation, the largest funding round in Silicon Valley’s history. The round, which comes at a time when th…","OpenAI Group PBC showed that its still the darling of artificial intelligence investors today, announcing it has raised $122 billion at an $852 billion valuation, the largest funding round in Silicon… [+4840 chars]",https://siliconangle.com/2026/03/31/openai-just-closed-record-breaking-122b-funding-round-brings-value-852b/
META,2026-03-31T23:49:01Z,BusinessLine,Reuters,US stocks rally sharply as Trump signals potential end to Iran conflict,"Major U.S. indexes posted their biggest gains in months, led by big tech stocks, even as geopolitical tensions and economic uncertainty continue to weigh on markets.","Wall Street ended sharply higher on Tuesday, lifted by speculation about a potential de-escalation in the Middle East conflict that has sent oil prices soaring and fueled fears of global inflation in… [+3747 chars]",https://www.thehindubusinessline.com/markets/us-stocks-rally-sharply-as-trump-signals-potential-end-to-iran-conflict/article70809550.ece
META,2026-03-31T23:14:10Z,The Next Web,Alina Maria Stan,Decentraland just launched on the Epic Games Store.,"The metaverse was supposed to be its own destination. You would put on a headset, enter a virtual world, and never need to think about the platform that brought you there. That was the pitch, anyway. Decentraland, one of the earliest and most persistent exper…","The metaverse was supposed to be its own destination. You would put on a headset, enter a virtual world, and never need to think about the platform that brought you there. That was the pitch, anyway.… [+6567 chars]",https://thenextweb.com/news/decentraland-epic-games-store-mobile-launch/
META,2026-03-31T22:01:48Z,The Next Web,Allison Steffens Herrera,Iran’s Revolutionary Guards just named 18 US tech firms as military targets. The age of the civilian data centre is over.,"At 8pm Tehran time on Tuesday, a new kind of front line was drawn, not through desert terrain or along a disputed border, but through the server farms, cloud regions, and corporate campuses of America’s largest technology companies. The Islamic Revolutionary …","At 8pm Tehran time on Tuesday, a new kind of front line was drawn, not through desert terrain or along a disputed border, but through the server farms, cloud regions, and corporate campuses of Americ… [+7779 chars]",https://thenextweb.com/news/iran-irgc-18-us-tech-companies-military-targets/
META,2026-03-31T21:44:18Z,Japan Today,,"Meta, Snapchat, TikTok and YouTube aren't fully complying with child account ban, Australia says","Australia’s online safety watchdog said Tuesday it was considering court against Facebook, Instagram, Snapchat, TikTok and YouTube alleging they are not doing enough to keep Australian children younger than 16 off their platforms. Experts say the Australian c…","Australias online safety watchdog said Tuesday it was considering court against Facebook, Instagram, Snapchat, TikTok and YouTube alleging they are not doing enough to keep Australian children younge… [+4368 chars]",https://japantoday.com/category/tech/meta-snapchat-tiktok-and-youtube-aren%27t-fully-complying-with-child-account-ban-australia-says
META,2026-03-31T21:18:14Z,Theregister.com,Jessica Lyons,"Don't open that WhatsApp message, Microsoft warns","How to avoid social engineering attacks? Employee training tops the list
Be careful what you click on. Miscreants are abusing WhatsApp messages in a multi-stage attack that delivers malicious Microsoft Installer (MSI) packages, allowing criminals to control v…","Be careful what you click on. Miscreants are abusing WhatsApp messages in a multi-stage attack that delivers malicious Microsoft Installer (MSI) packages, allowing criminals to control victims' machi… [+3321 chars]",https://www.theregister.com/2026/03/31/whatsapp_message_bad_msi_packages/
META,2026-03-31T21:02:07Z,Openai.com,,OpenAI raises $122B to accelerate the next phase of AI,"OpenAI raises $122 billion in new funding to expand frontier AI globally, invest in next-generation compute, and meet growing demand for ChatGPT, Codex, and enterprise AI.","Today, we closed our latest funding round with $122 billion in committed capital at a post money valuation of $852 billion.
OpenAI is becoming the core infrastructure for AI, making it possible for … [+8638 chars]",https://openai.com/index/accelerating-the-next-phase-ai/
META,2026-03-31T20:45:02Z,Gizmodo.com,James Pero,VR Just Took Another Massive Body Blow,"Rec Room, another popular virtual reality hangout, is shutting down—further proof that the metaverse is dead.","There’s no denying it: things are bad in the VR world right now. Between Meta shuttering several of the biggest VR game studios and gutting its own metaverse efforts, combined with the company’s gene… [+2891 chars]",https://gizmodo.com/vr-just-took-another-massive-body-blow-rec-room-shuts-down-june-1-2000740256
